CID;Event Type;Event Description
100;Medical;A non-specific medical condition exists
101;Personal Emergency;Emergency Assistance request
102;Fail to report in;A user has failed to activate a monitoring device
110;Fire;A non-specific fire alarm condition exists
111;Smoke;An alarm has been triggered by a smoke detector
112;Combustion;An alarm has been triggered by a combustion detector
113;Water Flow;An alarm has been triggered by a water flow detector
114;Heat;An alarm has been triggered by a heat detector
115;Pull Station;A pull station has been activated
116;Duct;An alarm has been triggered by a duct detector
117;Flame;An alarm has been triggered by a flame detector
118;Near Alarm;A near-alarm condition has been detected on a fire sensor
120;Panic;A non-specific hold-up alarm exists
121;Duress;A duress code has been entered by a user
122;Silent;A silent hold-up alarm exists
123;Audible;An audible hold-up alarm exists
124;Duress Access granted;A duress code has been entered and granted at an entry door
125;Duress Egress granted;A duress code has been entered and granted at an exit door
126;Hold-up suspicion print;A user has activated a trigger to indicate a suspicious condition
130;Burglary;A burglary zone has been violated while armed
131;Perimeter;A perimeter zone has been violated while armed
132;Interior;An interior zone has been violated while armed
133;24 Hour (Safe);A 24 hour burglary zone has been violated
134;Entry/Exit;An Entry/Exit zone has been violated while armed
135;Day/Night;An trouble by Day / alarm by Night zone has been violated while armed
136;Outdoor;An outdoor burglary zone has been violated while armed
137;Tamper;A burglary zone has been tampered with while armed
138;Near alarm;A burg sensor has detected a condition which will cause it to go into alarm if the condition worsens
139;Intrusion Verifier;The specified zone has verified that an intrusion has occurred
140;General Alarm;The specified zone is in an alarm condition
141;Polling loop open;An open circuit condition has been detected on a polling loop while the system was armed
142;Polling loop short;A short circuit condition has been detected on a polling loop while the system was armed
143;Expansion module failure;A general failure condition has been detected on an expansion module while the system was armed
144;Sensor tamper;A sensors tamper has been violated (case opened)
145;Expansion module tamper;An expansion modules tamper has been violated (cabinet opened)
146;Silent Burglary;A burglary zone has been violated while armed with no audible notification produced
147;Sensor Supervision Failure;A sensors supervisory circuit has reported a failure while the system was armed
150;24 Hour Non-Burglary;A non-burglary zone has been faulted
151;Gas detected;The gas detector assigned to the specified zone has reported a fault condition
152;Refrigeration;The refrigeration detector assigned to the specified zone has reported a fault condition
153;Loss of heat;The temperature detector assigned to the specified zone has reported a fault condition
154;Water Leakage;The water leak detector assigned to the specified zone has reported a fault condition
155;Foil Break;The specified zone which is assigned to foil used as glass break detection has reported a fault condition
156;Day Trouble;The specified zone which monitors trouble by day has reported a fault condition while disarmed
157;Low bottled gas level;The gas level detector assigned to the specified zone has reported a fault condition
158;High temp;The over-temperature detector assigned to the specified zone has reported a fault condition
159;Low temp;The under-temperature detector assigned to the specified zone has reported a fault condition
161;Loss of air flow;The air flow detector assigned to the specified zone has reported a fault condition
162;Carbon Monoxide detected;The carbon monoxide detector assigned to the specified zone has reported a fault condition
163;Tank level;The tank level detector assigned to the specified zone has reported a fault condition
200;Fire Supervisory;The supervisory circuit of the specified fire zone has reported a fault condition
201;Low water pressure;The water pressure sensor assigned to the specified zone has reported a fault condition
202;Low CO2;The CO2 pressure sensor assigned to the specified zone has reported a fault condition
203;Gate valve sensor;The gate valve sensor in the fire sprinkler system assigned to the specified zone has reported a fault condition
204;Low water level;The water level sensor assigned to the specified zone has reported a fault condition
205;Pump activated;The pump activity detector assigned to the specified zone has reported an active condition
206;Pump failure;A pump output monitor assigned to the specified zone has reported a fault condition
300;System Trouble;A general system trouble condition has been reported by the specified zone
301;AC Loss;AC power loss has been detected at a control or expansion module while the system was disarmed
302;Low system battery;A battery has failed a load test while the system was disarmed
303;RAM Checksum bad;A test of the systems memory has failed
304;ROM checksum bad;A test of the systems executable memory has failed
305;System reset;The system has reset and restarted
306;Panel programming changed;The programmed configuration of the panel has changed
307;Self-test failure;The system has failed a self-test
308;System shutdown;The system has been shut down and has stopped functioning
309;Battery test failure;The system backup battery has failed a load test while the system was disarmed
310;Ground fault;The panel has detected a ground fault condition
311;Battery Missing/Dead;The system has detected that the backup battery is either missing or completely discharged.
312;Power Supply Overcurrent;The system power supply has reported an excessive current draw condition
313;Engineer Reset;The specified service person has issued a system reset
314;Radio battery charger failure;The systems primary power supply has failed a supervision test. Radio devices indicate this when the backup battery charging circuit has failed its supervision test
320;Sounder/Relay;A trouble condition exists in the systems sounder/relay circuit
321;Bell 1;A trouble condition exists in the primary bell circuit
322;Bell 2;A trouble condition exists in the secondary bell circuit
323;Alarm relay;A trouble condition exists in the systems alarm relay circuit
324;Trouble relay;A trouble condition exists in the systems trouble relay circuit
325;Reversing relay;The specified TELCO reversing relay has reported a trouble condition
326;Notification Appliance Ckt. # 3;A trouble condition exists in the bell #3 circuit
327;Notification Appliance Ckt. #4;A trouble condition exists in the bell #4 circuit
330;System Peripheral trouble;A system peripheral device has reported a trouble condition
331;Polling loop open;An open circuit condition has been detected on a polling loop while the system was disarmed
332;Polling loop short;A short circuit condition has been detected on a polling loop while the system was disarmed
333;Expansion module failure;A general failure condition has been detected on an expansion module while the system was disarmed
334;Repeater failure;A repeater in the system has reported a failure condition while the system was disarmed
335;Local printer out of paper;The printer attached to the panel has reported an Out Of Paper condition
336;Local printer failure;The printer attached to the panel has reported a failure condition
337;Exp. Module Power Loss;An expansion module has detected a DC power loss
338;Exp. Module Low Battery;An expansion module has detected a low battery condition
339;Exp. Module Power On / Reset;An expansion module has reset
341;Exp. Module Tamper;An expansion module has detected its tamper switch has been faulted
342;Exp. Module AC Loss;An expansion module has detected the loss of AC power
343;Exp. Module self-test fail;An expansion module has failed a self-test
344;RF Receiver Jam Detect;An RF receiver has detected the presence of a jamming signal which prevents it from receiving normal signalsfrom the system RF devices
350;Communication Path Failure;The system has experienced difficulties communicating with the central station
351;Telco 1 fault;The system has detected a fault on the primary dial-up line
352;Telco 2 fault;The system has detected a fault on the secondary dial-up line
353;Long Range Radio xmitter fault;A fault has been detected in the long range radio subsystem
354;Failure to communicate event;The system was unable to communicate an event to the central station
355;Loss of Radio ECP supervision;The radio has not reported in its designated supervision interval
356;Loss of central polling;The radio has detected a loss in the polling signal from its associated receiver
357;Long Range Radio VSWR problem;The Long Range Radio has reported a transmitter/antenna problem
358;Periodic Comm Test Fail /Restore;A periodic Communication path test has failed
370;Protection loop;The specified protection loop has reported a trouble condition
371;Protection loop open;The specified protection loop has reported an open-loop trouble condition
372;Protection loop short;The specified protection loop has reported a shorted-loop trouble condition
373;Fire trouble;A fire sensor has detected a trouble condition on the specified zone while the system was disarmed
374;Exit error alarm (zone);An exit error condition has been reported for the specified alarm zone
375;Panic zone trouble;The system has detected a trouble condition on the panic zone
376;Hold-up zone trouble;The system has detected a trouble condition on the hold-up zone
377;Swinger Trouble;A fault has occurred on a zone that has been shut down due to excessive alarms
378;Cross-zone Trouble;The specified zone in a cross-zone configuration has faulted without a fault on its corresponding cross-zone ina specific time period
380;Sensor trouble;The specified sensor has reported a trouble condition
381;Loss of supervision - RF;The specified zone has failed to report in during its designated supervision period
382;Loss of supervision - RPM;An Remote Polled Module assigned to the specified zone has failed supervision
383;Sensor tamper;The tamper switch on the specified sensor has been faulted
384;RF low battery;The specified battery powered RF zone has reported a low battery condition
385;Smoke detector Hi sensitivity;A smoke detectors sensitivity level has drifted to the upper limit
386;Smoke detector Low sensitivity;A smoke detectors sensitivity level has drifted to the lower limit
387;Intrusion detector Hi sensitivity;An intrusion detectors sensitivity level has drifted to the upper limit
388;Intrusion detector Low sensitivity;An intrusion detectors sensitivity level has drifted to the lower limit
389;Sensor self-test failure;The specified sensor has failed a self-test
391;Sensor Watch trouble;A motion sensor has not been triggered within a pre-defined time interval
392;Drift Compensation Error;A smoke detector cannot automatically adjust its sensitivity
393;Maintenance Alert;The specified zone requires maintenance
394;CO Detector needs replacement;The specified Carbon Monoxide detector has reached end-of-life
400;Open/Close;The specified user has disarmed/armed the system
